code,short_title,detailed_description,system_category,code_type,severity_level
B003B,Second Row Right Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0040,Third Row Left Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0041,Third Row Left Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0042,Third Row Left Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0043,Third Row Left Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0048,Third Row Right Side Airbag Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0049,Third Row Right Frontal Stage 1 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B004A,Third Row Right Frontal Stage 2 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B004B,Third Row Right Frontal Stage 3 Deployment Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0050,Driver Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0051,First Row Center Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0052,Passenger Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0053,Second Row Left Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0054,Second Row Center Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0055,Second Row Right Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0056,Third Row Left Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0057,Third Row Center Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0058,Third Row Right Seatbelt Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0060,Driver Seatbelt Tension Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0061,Passenger Seatbelt Tension Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0070,"Driver Seatbelt Pretensioner ""A"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0071,First Row Center Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0072,"Passenger Seatbelt Pretensioner ""A"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0073,Second Row Left Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0074,Second Row Center Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0075,Second Row Right Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0076,Third Row Left Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0077,Third Row Center Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0078,Third Row Right Seatbelt Pretensioner Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0079,"Driver Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007A,"Passenger Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007B,"Second Row Left Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007C,"Second Row Right Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007D,"Second Row Center Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007E,"Driver Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B007F,"Passenger Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0080,Driver Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0081,First Row Center Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0082,Passenger Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0083,Second Row Left Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0084,Second Row Center Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0085,Second Row Right Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0086,Third Row Left Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0087,Third Row Center Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0088,Third Row Right Seatbelt Load Limiter Deployment Control (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0090,Left Frontal Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0091,Left Side Restraints Sensor 1 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0092,Left Side Restraints Sensor 2,System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0093,Left Side Restraints Sensor 3 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0094,Center Frontal Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0095,Right Frontal Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0096,Right Side Restraints Sensor 1 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0097,Right Side Restraints Sensor 2 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0098,Right Side Restraints Sensor 3 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B0099,Roll Over Sensor (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009A,Left Side Restraints Sensor 4 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009B,Left Side Restraints Sensor 5 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009C,Left Side Restraints Sensor 6 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009D,Right Side Restraints Sensor 4 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009E,Right Side Restraints Sensor 5 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B009F,Right Side Restraints Sensor 6 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00A0,Occupant Classification System (Subfault),System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00A1,Occupant Position System (Subfault),System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B0,"Driver Seat Occupant Classification Sensor ""A"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B1,"Driver Seat Occupant Classification Sensor ""B"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B2,"Driver Seat Occupant Classification Sensor ""C"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B3,"Driver Seat Occupant Classification Sensor ""D"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B4,"Driver Seat Occupant Classification Sensor ""E"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B5,Driver Seat Track Position Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B6,Driver Seat Recline Position Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B7,"Driver Seat Occupant Position Sensor ""A"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B8,"Driver Seat Occupant Position Sensor ""B"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00B9,"Driver Seat Occupant Position Sensor ""C"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00BA,"Driver Seat Occupant Position Sensor ""D"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00BB,"Driver Seat Occupant Position Sensor ""E"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C0,"Passenger Seat Occupant Classification Sensor ""A"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C1,"Passenger Seat Occupant Classification Sensor ""B"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C2,"Passenger Seat Occupant Classification Sensor ""C"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C3,"Passenger Seat Occupant Classification Sensor ""D"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C4,"Passenger Seat Occupant Classification Sensor ""E"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C5,Passenger Seat Track Position Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C6,Passenger Seat Recline Position Restraints Sensor (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C7,"Passenger Seat Occupant Position Sensor ""A"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C8,"Passenger Seat Occupant Position Sensor ""B"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00C9,"Passenger Seat Occupant Position Sensor ""C"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00CA,"Passenger Seat Occupant Position Sensor ""D"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00CB,"Passenger Seat Occupant Position Sensor ""E"" (Subfault)",System: Seat System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00D0,Driver Seatbelt Indicator (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00D1,Passenger Seatbelt Indicator (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00D2,Restraint System Malfunction Indicator 1 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Generic,Critical
B00D3,Restraint System Malfunction Indicator 2 (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Generic,Critical
B00D4,Restraint System Malfunction Audible Indicator (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Generic,Critical
B00D5,Restraint System Passenger Disable Indicator (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00DF,Passenger Restraints Disable Switch (Subfault),System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E0,"Third Row Left Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E1,"Third Row Right Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E2,"Third Row Center Seatbelt Pretensioner ""B"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E3,"Second Row Left Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E4,"Second Row Right Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E5,"Second Row Center Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E6,"Third Row Right Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E7,"Third Row Left Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B00E8,"Third Row Center Seatbelt Pretensioner ""C"" Deployment Control (Subfault)",System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Generic,Info
B1000,Manufacturer Controlled DTC,System: Lighting System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Manufacturer,Info
B1047,Driver-Side Side Air Bag Module And Other Air Bag Module Circuits Short,System: General. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Manufacturer,Critical
B1057,Driver Airbag Module Short,System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Manufacturer,Critical
B1342,ECU Is Defective,System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Manufacturer,Info
B1650,PCM Or Airbag Control Module Has Detected A Malfunction In The Occupant Classification System,System: Restraint System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Body category.,Body,Manufacturer,Critical
B1676,Battery Pack Voltage Out Of Range,System: General. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Body category.,Body,Manufacturer,Warning
B2000,Manufacturer Controlled DTC,System: Lighting System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Manufacturer,Info
B3000,Reserved For Future Use,System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Body category.,Body,Manufacturer,Info
C0001,"TCS Control Channel ""A"" Valve 1 (Subfault)",System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0002,"TCS Control Channel ""A"" Valve 2 (Subfault)",System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0003,"TCS Control Channel ""B"" Valve 1 (Subfault)",System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0004,"TCS Control Channel ""B"" Valve 2 (Subfault)",System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0010,Left Front Inlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0011,Left Front Outlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0012,Left Front Hydraulic Release Too Long (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0014,Right Front Inlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0015,Right Front Outlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0016,Right Front Hydraulic Release Too Long (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0018,Left Rear Inlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0019,Left Rear Outlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C001A,Left Rear Hydraulic Release Too Long (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C001C,Right Rear Inlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C001D,Right Rear Outlet Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C001E,Right Rear Hydraulic Release Too Long (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0020,ABS Pump Motor Control (Subfault),System: Anti-lock Brake System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0021,Brake Booster Performance (Subfault),System: Anti-lock Brake System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Chassis category.,Chassis,Generic,Warning
C0022,Brake Booster Solenoid (Subfault),System: Anti-lock Brake System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0023,Stop Lamp Control (Subfault),System: General. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0030,Left Front Tone Wheel (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0031,Left Front Wheel Speed Sensor (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0032,Left Front Wheel Speed Sensor Supply (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0033,Right Front Tone Wheel (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0034,Right Front Wheel Speed Sensor (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0035,Right Front Wheel Speed Sensor Supply (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0036,Left Rear Tone Wheel (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0037,Left Rear Wheel Speed Sensor (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0038,Left Rear Wheel Speed Sensor Supply (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C0039,Right Rear Tone Wheel (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C003A,Right Rear Wheel Speed Sensor (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
C003B,Right Rear Wheel Speed Sensor Supply (Subfault),System: Wheel Speed Sensor. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Chassis category.,Chassis,Generic,Info
